metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,1.0400745573159367,1.0,0.9647207351698129,0.9999998865540389,2232,2146,23,asc,1.008130081300813,1.0,0.9959600521931146,0.9999999997822169,2232,2214,23,asc,59.30434782608696,0.611111111111111,0.9959600521931146,0.9288782910504786,2232,18,11,desc,1.0400745573159367,1.0,0.9647207351698129,0.9999998865540389,2232,2146,112,asc,1.008130081300813,1.0,0.9959600521931146,0.9999999997822169,2232,2214,112,asc,19.92857142857143,1.0,0.9959600521931146,0.9288782910504786,2232,18,18,desc,1.0400745573159367,1.0,0.9647207351698129,0.9999998865540389,2232,2146,224,asc,1.008130081300813,1.0,0.9959600521931146,0.9999999997822169,2232,2214,224,asc,9.964285714285715,1.0,0.9959600521931146,0.9288782910504786,2232,18,18,desc,3eyg,3EYG,boltz2,Boltz-2
dynamicbind_affinity_bestpose,0.9952815860351147,0.9565217391304347,0.6950784039745381,0.9658802143108105,2234,2147,22,desc,1.0085778781038375,1.0,0.7144350718783414,0.9976618521297735,2234,2215,23,desc,35.78489702517163,0.368421052631579,0.7144350718783414,0.4375111603229202,2234,19,7,asc,1.0219409142324838,0.982142857142857,0.6950784039745381,0.9658802143108105,2234,2147,110,desc,1.0085778781038375,1.0,0.7144350718783414,0.9976618521297735,2234,2215,112,desc,8.398496240601505,0.4210526315789474,0.7144350718783414,0.4375111603229202,2234,19,8,asc,1.0312312861800519,0.9910714285714285,0.6950784039745381,0.9658802143108105,2234,2147,222,desc,1.0085778781038375,1.0,0.7144350718783414,0.9976618521297735,2234,2215,224,desc,4.724154135338346,0.4736842105263158,0.7144350718783414,0.4375111603229202,2234,19,9,asc,3eyg,3EYG,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,0.9929987074536838,0.9545454545454546,0.7213074993030387,0.974758584396502,2195,2110,21,desc,1.0087316176470589,1.0,0.8983044698142415,0.9999999426321138,2195,2176,22,desc,5.251196172248805,0.052631578947368425,0.8983044698142415,0.31084040768059734,2195,19,1,asc,1.0308272296423955,0.9909090909090909,0.7213074993030387,0.974758584396502,2195,2110,109,desc,1.0087316176470589,1.0,0.8983044698142415,0.9999999426321138,2195,2176,110,desc,6.301435406698565,0.3157894736842105,0.8983044698142415,0.31084040768059734,2195,19,6,asc,1.0308272296423955,0.9909090909090909,0.7213074993030387,0.974758584396502,2195,2110,218,desc,1.0087316176470589,1.0,0.8983044698142415,0.9999999426321138,2195,2176,220,desc,5.251196172248805,0.5263157894736843,0.8983044698142415,0.31084040768059734,2195,19,10,asc,3eyg,3EYG,gnina,GNINA 1.3
plapt_affinity,1.04052165812762,1.0,0.7221249645321727,0.9820673435461298,2234,2147,23,desc,1.0085778781038375,1.0,0.8740881549245575,0.9998425807542617,2234,2215,23,desc,30.672768878718536,0.3157894736842105,0.8740881549245575,0.48246798264644053,2234,19,6,asc,1.0219409142324838,0.982142857142857,0.7221249645321727,0.9820673435461298,2234,2147,110,desc,1.0085778781038375,1.0,0.8740881549245575,0.9998425807542617,2234,2215,112,desc,10.49812030075188,0.5263157894736842,0.8740881549245575,0.48246798264644053,2234,19,10,asc,1.0312312861800519,0.9910714285714285,0.7221249645321727,0.9820673435461298,2234,2147,222,desc,1.0085778781038375,1.0,0.8740881549245575,0.9998425807542617,2234,2215,224,desc,6.823778195488723,0.6842105263157895,0.8740881549245575,0.48246798264644053,2234,19,13,asc,3eyg,3EYG,plapt,PLAPT
qvina_affinity_bestpose,1.0401701323251418,1.0,0.5812604247748249,0.9457086697580083,2201,2116,23,asc,1.0087076076993584,1.0,0.8002918616431087,0.9999017627140638,2201,2182,23,asc,0.0,0.0,0.8002918616431087,0.1512411658316018,2201,19,0,desc,1.0026865239530647,0.963963963963964,0.5812604247748249,0.9457086697580083,2201,2116,107,asc,1.0087076076993584,1.0,0.8002918616431087,0.9999017627140638,2201,2182,111,asc,3.1308677098150786,0.15789473684210528,0.8002918616431087,0.1512411658316018,2201,19,3,desc,1.0119302192303417,0.9728506787330318,0.5812604247748249,0.9457086697580083,2201,2116,215,asc,1.0087076076993584,1.0,0.8002918616431087,0.9999017627140638,2201,2182,221,asc,3.6692069540366754,0.3684210526315789,0.8002918616431087,0.1512411658316018,2201,19,7,desc,3eyg,3EYG,qvina,QVina2
boltz2_affinity_pred_value,1.105060506050605,1.0,0.935355577442561,0.999998728021414,2009,1818,21,asc,1.0276214833759592,1.0,0.9781756180733163,0.999999995218705,2009,1955,21,asc,23.030864197530864,0.6190476190476191,0.9781756180733163,0.7753115725890772,2009,54,13,desc,1.105060506050605,1.0,0.935355577442561,0.999998728021414,2009,1818,101,asc,1.0276214833759592,1.0,0.9781756180733163,0.999999995218705,2009,1955,101,asc,16.207554088742206,0.8148148148148147,0.9781756180733163,0.7753115725890772,2009,54,44,desc,1.105060506050605,1.0,0.935355577442561,0.999998728021414,2009,1818,201,asc,1.0276214833759592,1.0,0.9781756180733163,0.999999995218705,2009,1955,201,asc,9.069559609360605,0.9074074074074074,0.9781756180733163,0.7753115725890772,2009,54,49,desc,3jy9,3JY9,boltz2,Boltz-2
dynamicbind_affinity_bestpose,1.0006537485944405,0.9047619047619047,0.6803214085524949,0.9371248793169182,2014,1821,19,desc,0.9796196313050245,0.9523809523809523,0.8382551437326718,0.9792510671243613,2014,1958,20,desc,22.26360544217687,0.6190476190476191,0.8382551437326718,0.6042696204712431,2014,56,13,asc,1.062184307392848,0.9603960396039605,0.6803214085524949,0.9371248793169182,2014,1821,97,desc,1.0184164483864115,0.99009900990099,0.8382551437326718,0.9792510671243613,2014,1958,100,desc,11.750707213578503,0.5892857142857143,0.8382551437326718,0.6042696204712431,2014,56,33,asc,1.0348084231816923,0.9356435643564358,0.6803214085524949,0.9371248793169182,2014,1821,189,desc,1.0235085306283438,0.995049504950495,0.8382551437326718,0.9792510671243613,2014,1958,201,desc,6.765558698727016,0.6785714285714286,0.8382551437326718,0.6042696204712431,2014,56,38,asc,3jy9,3JY9,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,1.1070234113712374,1.0,0.6740553000743218,0.9901948720303073,1986,1794,20,desc,1.0290155440414508,1.0,0.7772668393782384,0.999884701967881,1986,1930,20,desc,3.5464285714285717,0.1,0.7772668393782384,0.15603077786076475,1986,56,2,asc,1.095953177257525,0.99,0.6740553000743218,0.9901948720303073,1986,1794,99,desc,1.0290155440414508,1.0,0.7772668393782384,0.999884701967881,1986,1930,100,desc,1.4185714285714286,0.07142857142857142,0.7772668393782384,0.15603077786076475,1986,56,4,asc,1.101460479655804,0.9949748743718593,0.6740553000743218,0.9901948720303073,1986,1794,198,desc,1.0290155440414508,1.0,0.7772668393782384,0.999884701967881,1986,1930,199,desc,2.4949748743718594,0.25,0.7772668393782384,0.15603077786076475,1986,56,14,asc,3jy9,3JY9,gnina,GNINA 1.3
plapt_affinity,1.053319735362569,0.9523809523809523,0.7419996414883355,0.9411558800135101,2014,1821,20,desc,1.0286006128702758,1.0,0.860854735152488,0.9858612717709909,2014,1958,21,desc,15.41326530612245,0.42857142857142855,0.860854735152488,0.44900513689075455,2014,56,9,asc,1.0512339537083857,0.9504950495049505,0.7419996414883355,0.9411558800135101,2014,1821,96,desc,1.0184164483864115,0.99009900990099,0.860854735152488,0.9858612717709909,2014,1958,100,desc,7.477722772277228,0.375,0.860854735152488,0.44900513689075455,2014,56,21,asc,1.062184307392848,0.9603960396039605,0.7419996414883355,0.9411558800135101,2014,1821,194,desc,1.0235085306283438,0.995049504950495,0.860854735152488,0.9858612717709909,2014,1958,201,desc,5.697312588401697,0.5714285714285714,0.860854735152488,0.44900513689075455,2014,56,32,asc,3jy9,3JY9,plapt,PLAPT
qvina_affinity_bestpose,0.8303123257110988,0.75,0.6143073759063022,0.8545610428837712,1985,1793,15,asc,0.9775790565059616,0.9499999999999998,0.7309671924757462,0.9275604551821502,1985,1929,19,asc,5.316964285714286,0.15,0.7309671924757462,0.3632663413262279,1985,56,3,desc,0.9410206358059119,0.85,0.6143073759063022,0.8545610428837712,1985,1793,85,asc,0.9878693623639191,0.96,0.7309671924757462,0.9275604551821502,1985,1929,96,asc,7.44375,0.37499999999999994,0.7309671924757462,0.3632663413262279,1985,56,21,desc,0.984692004360901,0.8894472361809045,0.6143073759063022,0.8545610428837712,1985,1793,177,asc,0.992833530013989,0.9648241206030149,0.7309671924757462,0.9275604551821502,1985,1929,192,asc,4.27494615936827,0.42857142857142855,0.7309671924757462,0.3632663413262279,1985,56,24,desc,3jy9,3JY9,qvina,QVina2
boltz2_affinity_pred_value,1.055944055944056,1.0,0.8102797202797203,0.9878317191756593,755,715,8,asc,1.0093582887700534,1.0,0.8082505729564553,0.9977237763366761,755,748,8,asc,0.0,0.0,0.8082505729564553,0.24725866777365013,755,7,0,desc,1.055944055944056,1.0,0.8102797202797203,0.9878317191756593,755,715,38,asc,1.0093582887700534,1.0,0.8082505729564553,0.9977237763366761,755,748,38,asc,2.8383458646616537,0.14285714285714288,0.8082505729564553,0.24725866777365013,755,7,1,desc,1.04205005520795,0.9868421052631577,0.8102797202797203,0.9878317191756593,755,715,75,asc,1.0093582887700534,1.0,0.8082505729564553,0.9977237763366761,755,748,76,asc,4.25751879699248,0.42857142857142855,0.8082505729564553,0.24725866777365013,755,7,3,desc,3lxk,3LXK,boltz2,Boltz-2
dynamicbind_affinity_bestpose,1.0571827057182706,1.0,0.7621866176820764,0.9705635325184375,758,717,8,desc,1.0093209054593875,1.0,0.7728742628875784,0.9999738049361334,758,751,8,desc,27.07142857142857,0.2857142857142857,0.7728742628875784,0.32588517138980033,758,7,2,asc,1.0293621081993687,0.9736842105263158,0.7621866176820764,0.9705635325184375,758,717,37,desc,1.0093209054593875,1.0,0.7728742628875784,0.9999738049361334,758,751,38,desc,5.6992481203007515,0.2857142857142857,0.7728742628875784,0.32588517138980033,758,7,2,asc,1.0432724069588197,0.986842105263158,0.7621866176820764,0.9705635325184375,758,717,75,desc,1.0093209054593875,1.0,0.7728742628875784,0.9999738049361334,758,751,76,desc,4.274436090225564,0.42857142857142855,0.7728742628875784,0.32588517138980033,758,7,3,asc,3lxk,3LXK,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,1.0577464788732394,1.0,0.7884919271727928,0.9998044990695775,751,710,8,desc,1.0094086021505375,1.0,0.7596006144393241,0.9999713962500825,751,744,8,desc,0.0,0.0,0.7596006144393241,0.1144926473384146,751,7,0,asc,1.0577464788732394,1.0,0.7884919271727928,0.9998044990695775,751,710,38,desc,1.0094086021505375,1.0,0.7596006144393241,0.9999713962500825,751,744,38,desc,2.8233082706766917,0.14285714285714288,0.7596006144393241,0.1144926473384146,751,7,1,asc,1.0577464788732394,1.0,0.7884919271727928,0.9998044990695775,751,710,76,desc,1.0094086021505375,1.0,0.7596006144393241,0.9999713962500825,751,744,76,desc,2.8233082706766917,0.28571428571428575,0.7596006144393241,0.1144926473384146,751,7,2,asc,3lxk,3LXK,gnina,GNINA 1.3
plapt_affinity,1.0571827057182706,1.0,0.6019321699493145,0.9789007997184515,758,717,8,desc,1.0093209054593875,1.0,0.6537949400798935,0.9984909696060384,758,751,8,desc,0.0,0.0,0.6537949400798935,0.1104840278803843,758,7,0,asc,1.0571827057182706,1.0,0.6019321699493145,0.9789007997184515,758,717,38,desc,1.0093209054593875,1.0,0.6537949400798935,0.9984909696060384,758,751,38,desc,0.0,0.0,0.6537949400798935,0.1104840278803843,758,7,0,asc,1.0432724069588197,0.986842105263158,0.6019321699493145,0.9789007997184515,758,717,75,desc,1.0093209054593875,1.0,0.6537949400798935,0.9984909696060384,758,751,76,desc,2.8496240601503757,0.2857142857142857,0.6537949400798935,0.1104840278803843,758,7,2,asc,3lxk,3LXK,plapt,PLAPT
qvina_affinity_bestpose,1.0577464788732394,1.0,0.6540707660597733,0.9897929720200084,751,710,8,asc,1.0094086021505375,1.0,0.6826996927803379,0.9993935153502492,751,744,8,asc,0.0,0.0,0.6826996927803379,0.034869168265901807,751,7,0,desc,1.0577464788732394,1.0,0.6540707660597733,0.9897929720200084,751,710,38,asc,1.0094086021505375,1.0,0.6826996927803379,0.9993935153502492,751,744,38,asc,0.0,0.0,0.6826996927803379,0.034869168265901807,751,7,0,desc,1.0438287620459599,0.9868421052631579,0.6540707660597733,0.9897929720200084,751,710,75,asc,1.0094086021505375,1.0,0.6826996927803379,0.9993935153502492,751,744,76,asc,1.4116541353383458,0.14285714285714288,0.6826996927803379,0.034869168265901807,751,7,1,desc,3lxk,3LXK,qvina,QVina2
boltz2_affinity_pred_value,1.0682261208576997,0.6666666666666666,0.8360869812070629,0.7087890246859175,274,171,2,asc,1.2685185185185184,1.0,0.8425127713920817,0.9593916734674721,274,216,3,asc,4.724137931034483,1.0,0.8425127713920817,0.8590576974213027,274,58,3,desc,0.9156223893065999,0.5714285714285715,0.8360869812070629,0.7087890246859175,274,171,8,asc,1.1779100529100528,0.9285714285714286,0.8425127713920817,0.9593916734674721,274,216,13,asc,4.386699507389163,0.9285714285714286,0.8425127713920817,0.8590576974213027,274,58,13,desc,1.2589807852965749,0.7857142857142858,0.8360869812070629,0.7087890246859175,274,171,22,asc,1.2232142857142856,0.9642857142857143,0.8425127713920817,0.9593916734674721,274,216,27,asc,3.7118226600985222,0.7857142857142857,0.8425127713920817,0.8590576974213027,274,58,22,desc,3mjg,3MJG,boltz2,Boltz-2
dynamicbind_affinity_bestpose,0.5329457364341085,0.3333333333333333,0.6584443440957327,0.553636391247472,275,172,1,desc,1.2672811059907834,1.0,0.7548069283330685,0.817847340879652,275,217,3,desc,4.741379310344827,1.0,0.7548069283330685,0.8224842500107973,275,58,3,asc,0.7994186046511628,0.5,0.6584443440957327,0.553636391247472,275,172,7,desc,0.9957208689927584,0.7857142857142857,0.7548069283330685,0.817847340879652,275,217,11,desc,4.402709359605912,0.9285714285714287,0.7548069283330685,0.8224842500107973,275,58,13,asc,0.9136212624584716,0.5714285714285714,0.6584443440957327,0.553636391247472,275,172,16,desc,1.0409809084924293,0.8214285714285715,0.7548069283330685,0.817847340879652,275,217,23,desc,3.5560344827586206,0.75,0.7548069283330685,0.8224842500107973,275,58,21,asc,3mjg,3MJG,dynamicbind,DynamicBind
