target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label
3mjg,boltz2,boltz2_affinity_pred_value,274,0.7280301423961411,1.6692318700582214e-46,0.6036666953803425,1.3567296744927975e-28,0.4442570422857734,9.372127670875523e-28,Boltz-2
3mjg,dynamicbind,dynamicbind_affinity_bestpose,275,0.4989063078657021,1.0302721825019414e-18,0.2778517586824021,2.8810663831928465e-06,0.18000513053211567,9.321644127037864e-06,DynamicBind
3mjg,gnina,gnina_cnn_affinity_bestpose,268,0.3062276299674206,3.1692621218721486e-07,0.25069812875946795,3.304349425874974e-05,0.1729905336325179,2.6326668784487024e-05,GNINA 1.3
3mjg,plapt,plapt_affinity,275,0.25500519768114405,1.8647564567426967e-05,0.2346183193445143,8.567376165610302e-05,0.16305720114374772,5.943999690865232e-05,PLAPT
3mjg,qvina,qvina_affinity_bestpose,268,0.10238061991284517,0.0944047641751926,0.07955723349735712,0.19415705544274095,0.05942478076932866,0.15490722664797024,QVina2
