target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label
5jkv,boltz2,boltz2_affinity_pred_value,486,0.5685751462155247,5.780864493278286e-43,0.5776839424695622,1.3212217908776147e-44,0.4064971256294514,1.151429457420071e-40,Boltz-2
5jkv,dynamicbind,dynamicbind_affinity_bestpose,488,0.13856641772331382,0.0021550026070730134,0.19671865715736772,1.201269970284322e-05,0.1332180815398944,1.1606105805776918e-05,DynamicBind
5jkv,gnina,gnina_cnn_affinity_bestpose,487,0.14364910404724685,0.0014808395932424461,0.18418532794560866,4.328502219963796e-05,0.1220963278817134,5.9775034815660754e-05,GNINA 1.3
5jkv,plapt,plapt_affinity,488,0.1187200059252062,0.008660445105597301,0.1461857225628629,0.001201682877136537,0.10260468628901302,0.000732218839633204,PLAPT
5jkv,qvina,qvina_affinity_bestpose,487,0.13000453028677667,0.004055882331969885,0.15558836817384825,0.0005695429887530105,0.10179460330577332,0.0009413286223528167,QVina2
