target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label
7awe,boltz2,boltz2_affinity_pred_value,83,0.6811638028338417,1.377044199947198e-12,0.6712635718582914,3.792758150221149e-12,0.49580957378043944,3.33849588677918e-11,Boltz-2
7awe,dynamicbind,dynamicbind_affinity_bestpose,83,0.29281167772594147,0.007224042946482186,0.340905632375444,0.0016119355961400747,0.21643881749845992,0.003796558723731447,DynamicBind
7awe,gnina,gnina_cnn_affinity_bestpose,59,0.37388645191837594,0.003533851456549561,0.3712720099760735,0.0037912226894554492,0.2352941277231281,0.008559739610577054,GNINA 1.3
7awe,plapt,plapt_affinity,83,0.43302280371604934,4.336863440693824e-05,0.4292438722530412,5.1402134728791485e-05,0.2958389271786015,7.606798279545259e-05,PLAPT
7awe,qvina,qvina_affinity_bestpose,42,-0.2835330526056155,0.06882087373602082,-0.2895154601332162,0.06292785064354614,-0.18942487414734221,0.08056473164358859,QVina2
