target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label
6gqj,boltz2,boltz2_affinity_pred_value,1089,0.3605885586097467,8.836039840527345e-35,0.3579439862891114,2.9134485897115917e-34,0.2677174607530774,5.24314587395114e-34,Boltz-2
6gqj,dynamicbind,dynamicbind_affinity_bestpose,1089,0.0545728232705117,0.07183277162034751,0.17925764851492318,2.5687323092924117e-09,0.12767370104302936,6.718797514898607e-09,DynamicBind
6gqj,gnina,gnina_cnn_affinity_bestpose,1085,0.26280583096041343,1.3458750366604168e-18,0.3350068999348631,7.263782940020666e-30,0.24818596150582495,2.5973432060639655e-29,GNINA 1.3
6gqj,plapt,plapt_affinity,1089,0.08698668495448333,0.004069667365758726,0.13881141870822714,4.269924150607165e-06,0.09949451044822862,6.238004608717773e-06,PLAPT
6gqj,qvina,qvina_affinity_bestpose,1085,0.036679174493986846,0.2273546320159779,0.008628629049930834,0.7764877847534558,0.009365930685763104,0.674832704380077,QVina2
