canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
Cc1ccc(NC(=O)N2CCC[C@H]2CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689603,CHEMBL3705971,0.2,0.2,9.7,B,CHEMBL3638510,Ki,nM,UO_0000065,0.2,0.2,9.7,-9.6,0.0,0.0,-9.6,0.0,0.0,-7.9,-8.0,-8.0,-11.82,0.51,0.9488,8.357,-11.82,0.51,0.9488,8.357,7.030800393248865,0.0931535921742686,8.096023211520537,,,8.096023211520537,-0.2869018316268921,0.2764504849910736,0.2419187128543853,0.1378373056650161,-0.8157224059104919,0.4150636792182922,5MO4,9.69897000433602,high,4.547320000000004,4,129.1022,0.5381927368850749,5,94.56000000000002
Cc1ccc(NC(=O)N2CCOC(CO)C2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689549,CHEMBL3705971,0.5,0.5,9.3,B,CHEMBL3638510,Ki,nM,UO_0000065,0.5,0.5,9.3,-9.2,0.0,0.0,-9.2,0.0,0.0,-7.8,-8.9,-8.9,-12.1,-0.19,0.9373,8.373,-12.1,-0.19,0.9373,8.373,5.568074428079569,2.703495007578194,7.954978316374387,,,7.954978316374387,-0.4671832919120788,0.3508971035480499,-0.5026663541793823,0.3723399639129638,-0.4317002594470978,0.329454243183136,5MO4,9.30102999566398,high,3.7837200000000024,5,130.6872,0.5376132152106381,5,103.79
Cc1ccc(NC(=O)N2CCOCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689546,CHEMBL3705971,0.4,0.4,9.4,B,CHEMBL3638510,Ki,nM,UO_0000065,0.4,0.4,9.4,-10.2,0.0,0.0,-10.2,0.0,0.0,-8.5,-8.6,-8.6,-11.98,-0.69,0.9545,8.278,-11.98,-0.69,0.9545,8.278,7.270966496951899,0.0535837992400959,7.67060360541656,,,7.67060360541656,-0.7052069902420044,0.4372984170913696,-0.3079650402069092,0.2418423593044281,-1.1024489402770996,0.6327544450759888,5MO4,9.397940008672036,high,4.422820000000003,4,124.68040000000002,0.6417274951044465,4,83.56000000000002
Cc1ccc(NC(=O)N2CCS(=O)(=O)CC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689601,CHEMBL3705971,2.0,2.0,8.7,B,CHEMBL3638510,Ki,nM,UO_0000065,2.0,2.0,8.7,-12.5,0.0,0.0,-12.5,0.0,0.0,-9.6,-10.6,-10.3,-12.46,-0.35,0.9498,8.382,-12.46,-0.35,0.9498,8.382,5.770748480735385,1.695319351083758,7.504803740176372,,,7.504803740176372,-1.0233691930770874,0.3668513894081116,-0.8079118132591248,0.1948675364255905,-1.2388266324996948,0.5388352274894714,5MO4,8.698970004336019,high,3.8210200000000025,5,132.51519999999996,0.5926374240059207,4,108.47000000000001
Cc1ccc(NC(=O)N2CC[C@@H](O)C2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689604,CHEMBL3705971,0.4,0.4,9.4,B,CHEMBL3638510,Ki,nM,UO_0000065,0.4,0.4,9.4,-9.8,0.0,0.0,-9.8,0.0,0.0,-8.3,-8.8,-8.5,-12.37,0.03,0.9582,8.365,-12.37,0.03,0.9582,8.365,6.831482089912576,0.147406932960294,8.020755711191358,,,8.020755711191358,-0.8658259510993958,0.4673879742622375,-0.8708534240722656,0.4142190217971802,-0.8607984781265259,0.5205569267272949,5MO4,9.397940008672036,high,4.157220000000002,4,124.48520000000002,0.5793543526590875,4,94.56000000000002
Cc1ccc(NC(=O)N2CC[C@H](O)C2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689605,CHEMBL3705971,0.6,0.6,9.22,B,CHEMBL3638510,Ki,nM,UO_0000065,0.6,0.6,9.22,-9.9,0.0,0.0,-9.9,0.0,0.0,-8.4,-9.0,-8.8,-12.87,-0.4,0.9765,8.389,-12.87,-0.4,0.9765,8.389,6.553832404282629,0.2793621701363198,7.937150142286533,,,7.937150142286533,-0.5086637735366821,0.3467180132865906,-0.4625048339366913,0.2697688937187195,-0.5548227429389954,0.4236671030521393,5MO4,9.221848749616356,high,4.157220000000002,4,124.48520000000002,0.5793543526590875,4,94.56000000000002
Cc1ccc(NC(=O)[C@@H]2CCCO2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685199,CHEMBL3705971,0.4,0.4,9.4,B,CHEMBL3638510,Ki,nM,UO_0000065,0.4,0.4,9.4,-10.1,0.0,0.0,-10.1,0.0,0.0,-8.2,-9.3,-9.0,-12.66,-0.5,0.9862,8.273,-12.66,-0.5,0.9862,8.273,7.322503420682397,0.0475879042754512,7.874516276812073,,,7.874516276812073,-0.3308475315570831,0.2875040173530578,-0.0494098514318466,0.1900155842304229,-0.6122851967811584,0.3849924802780151,5MO4,9.397940008672036,high,4.676220000000003,4,120.87340000000005,0.6342622241140621,5,80.32000000000001
Cc1ccc(NC(=O)[C@H]2CCCO2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685198,CHEMBL3705971,0.6,0.6,9.22,B,CHEMBL3638510,Ki,nM,UO_0000065,0.6,0.6,9.22,-10.3,0.0,0.0,-10.3,0.0,0.0,-8.7,-8.7,-8.7,-12.4,-0.54,0.9749,8.212,-12.4,-0.54,0.9749,8.212,7.224930685661421,0.059575722008239,7.717990643776733,,,7.717990643776733,-0.3584428429603576,0.2742499709129333,0.0325905755162239,0.1531805098056793,-0.7494762539863586,0.3953194320201874,5MO4,9.221848749616356,high,4.676220000000003,4,120.87340000000005,0.6342622241140621,5,80.32000000000001
Cc1ccc(NC(=O)c2ccc(C(C)N(C)C)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685186,CHEMBL3705971,0.3,0.3,9.52,B,CHEMBL3638510,Ki,nM,UO_0000065,0.3,0.3,9.52,-11.7,0.0,0.0,-11.7,0.0,0.0,-8.7,-8.8,-8.8,-11.77,0.89,0.9204,8.575,-11.77,0.89,0.9204,8.575,6.51036330648117,0.3087711345142384,7.55021873756092,,,7.55021873756092,-1.0728914737701416,0.4618890881538391,-0.560418963432312,0.3273313045501709,-1.5853638648986816,0.5964468717575073,5MO4,9.522878745280336,high,6.433620000000006,4,149.7668999999998,0.31159799401686955,7,74.33000000000001
Cc1ccc(NC(=O)c2ccc(C3CCCN3C)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689558,CHEMBL3705971,0.3,0.3,9.52,B,CHEMBL3638510,Ki,nM,UO_0000065,0.3,0.3,9.52,-9.2,0.0,0.0,-9.2,0.0,0.0,-7.9,-8.7,-8.0,-10.83,0.79,0.2712,6.926,-9.96,-0.34,0.8541,8.504,6.862928771206178,0.1371106623414212,7.691631035811214,,,7.691631035811214,-1.319602370262146,0.4998098909854889,-0.9120746850967408,0.3401221632957458,-1.7271300554275513,0.6594976186752319,5MO4,9.522878745280336,high,6.5777200000000065,4,152.26989999999972,0.31113704477215787,6,74.33000000000001
