canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
CCC(SC)C(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,CHEMBL6052284,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.3,0.0,0.0,-8.3,0.0,0.0,-6.9,-7.3,-7.3,-10.01,-1.46,0.9881,8.749,-10.01,-1.46,0.9881,8.749,8.195661627160906,0.0063729186217083,8.421649476756288,,,8.421649476756288,-3.551361083984375,0.9313256740570068,-2.228868007659912,0.9261752367019652,-2.8576364517211914,0.9364760518074036,3EYG,9.259637310505756,high,4.8705200000000035,7,138.65709999999993,0.4445303734794031,7,98.83000000000001
CCC(SC)C(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(C(=O)OC)cc13)C2,CHEMBL5762598,CHEMBL5736566,0.55,0.55,9.26,B,CHEMBL5728338,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.1,0.0,0.0,-8.1,0.0,0.0,-6.6,-7.5,-6.8,-9.29,-0.97,0.9912,8.821,-9.29,-0.97,0.9912,8.821,7.831576658113118,0.0147374838399205,8.50298000176843,,,8.50298000176843,-3.601170539855957,0.8592111468315125,-2.627036571502685,0.857125461101532,-2.3501534461975098,0.8612968325614929,3EYG,9.259637310505756,high,4.267020000000002,9,145.3795999999999,0.3712618271926507,8,125.13000000000001
CCC(SC)C(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(S(C)(=O)=O)cc13)C2,CHEMBL5774822,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.5,0.0,0.0,-8.5,0.0,0.0,-7.1,-7.4,-7.4,-9.96,-0.62,0.9726,8.603,-9.96,-0.62,0.9726,8.603,7.869037066293266,0.0135195717103153,8.768446450515517,,,8.768446450515517,-3.555180549621582,0.824924886226654,-2.169851779937744,0.752159833908081,-2.6290574073791504,0.897689938545227,3EYG,9.259637310505756,high,3.8839200000000025,9,147.14989999999986,0.3869474377132085,8,132.97
CCC(SC)C(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,CHEMBL6042260,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.3,0.0,0.0,-9.3,0.0,0.0,-6.9,-9.1,-9.1,-9.52,0.58,0.6695,7.927,-9.47,-1.12,0.9835,8.558,7.676969516544612,0.0210392611073541,8.418765725429822,,,8.418765725429822,-3.571150779724121,0.9337157607078552,-2.2738075256347656,0.9430134296417236,-2.909452438354492,0.9244180917739868,3EYG,9.259637310505756,high,4.480420000000002,7,134.04009999999997,0.47305947797768383,7,98.83000000000001
CCC(SC)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(S(C)(=O)=O)cc13)C2,CHEMBL5782033,CHEMBL5736566,0.55,0.55,9.26,B,CHEMBL5728338,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.9,0.0,0.0,-9.9,0.0,0.0,-7.3,-7.4,-7.4,-9.91,-0.34,0.9768,8.552,-9.91,-0.34,0.9768,8.552,7.817586229774649,0.0152199690827054,9.132511305428867,,,9.132511305428867,-3.7746262550354,0.839866042137146,-2.6995115280151367,0.7906215786933899,-2.648947238922119,0.8891105055809021,3EYG,9.259637310505756,high,4.314820000000003,9,142.14289999999988,0.4033181093452635,8,115.9
CCC1(S(=O)(=O)N2[C@@H]3CCC[C@H]2C[C@H](Nc2nc(Nc4cc(C)[nH]n4)cc4ncccc24)C3)CC1,CHEMBL5993741,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.8,0.0,0.0,-8.8,0.0,0.0,-7.8,-8.6,-8.4,-10.22,0.48,0.9639,8.652,-10.22,0.48,0.9639,8.652,7.63561070714151,0.0231413820780291,8.727296224864384,,,8.727296224864384,-3.3879613876342773,0.909858226776123,-2.0518674850463867,0.9164709448814392,-2.6426827907562256,0.9032455682754515,3EYG,9.259637310505756,high,4.474720000000003,7,137.2318999999999,0.44263407416700246,7,115.9
CCC1(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@H](Nc2nc(Nc4cc(C)[nH]n4)cc4nc(CN5CCC(F)(F)CC5)ccc24)C3)CC1,CHEMBL5782734,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.5,0.0,0.0,-8.5,0.0,0.0,-7.3,-8.0,-8.0,-10.38,-0.05,0.9377,8.734,-10.38,-0.05,0.9377,8.734,7.055797420628412,0.0879432638014342,8.34609089267161,,,8.34609089267161,-2.975960731506348,0.9038252830505372,-1.0892351865768433,0.9404902458190918,-2.3207173347473145,0.8671603798866272,3EYG,9.259637310505756,high,5.315720000000004,8,162.0728999999997,0.29664672335297004,9,119.14
CCC1(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@H](Nc2nc(Nc4cc(C)[nH]n4)cc4nc(CN5CCN(C)CC5)ccc24)C3)CC1,CHEMBL5940808,CHEMBL5736566,0.55,0.55,9.26,B,CHEMBL5728338,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.3,0.0,0.0,-9.3,0.0,0.0,-7.3,-7.9,-7.3,-9.93,0.26,0.9444,8.68,-9.93,0.26,0.9444,8.68,8.699400435607258,0.0019980187727065,8.26719878118482,,,8.26719878118482,-2.9683279991149902,0.8703591823577881,-1.3232688903808594,0.8709778189659119,-2.1705710887908936,0.8697406053543091,3EYG,9.259637310505756,high,3.8320200000000026,9,165.38889999999964,0.3397674499690362,9,122.38
CCC1(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@H](Nc2nc(Nc4cc(C)[nH]n4)cc4ncccc24)C3)CC1,CHEMBL5837308,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.6,0.0,0.0,-8.6,0.0,0.0,-7.3,-8.3,-8.3,-9.9,0.24,0.8436,8.225,-9.62,1.51,0.9799,8.656,7.546146456807078,0.0284350203365439,8.681871423596649,,,8.681871423596649,-3.27496337890625,0.9093766808509828,-1.863549828529358,0.8971479535102844,-2.6697964668273926,0.9216054081916808,3EYG,9.259637310505756,high,4.084620000000002,7,132.61489999999998,0.46546723491051906,7,115.9
CCCC(=O)N1CC=C(c2cccn3nc(Nc4ccc(C(=O)N(C)C5CCN(C)CC5)cc4)nc23)CC1,CHEMBL5986107,CHEMBL5733205,5.78,5.78,8.24,B,CHEMBL5726716,Ki,nM,UO_0000065,5.78,5.78,8.24,-8.6,0.0,0.0,-8.6,0.0,0.0,-6.9,-7.1,-7.1,-10.22,-0.41,0.897,8.118,-9.81,-0.3,0.937,8.165,6.742178938998429,0.1810593933889849,7.9842293223374385,,,7.9842293223374385,-2.5232372283935547,0.7313265800476074,-1.5458288192749023,0.7401657104492188,-1.422407150268555,0.7224873900413513,3EYG,8.23807216157947,high,4.0549000000000035,7,149.40619999999979,0.5109475407640184,7,86.08
CCCC1CCCN1S(=O)(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,CHEMBL5807071,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.5,0.0,0.0,-9.5,0.0,0.0,-8.0,-9.4,-9.4,-9.55,-0.88,0.9213,8.63,-9.55,-0.88,0.9213,8.63,9.132753595082413,0.0007366249165742,8.353076013967511,,,8.353076013967511,-3.641445159912109,0.8802598118782043,-2.418056964874268,0.8675033450126648,-2.591952323913574,0.8930162787437439,3EYG,9.259637310505756,high,4.711620000000003,7,149.61189999999985,0.3799170041731364,8,119.14000000000001
CCCCC(=O)N1CC=C(c2ccc[nH]/c2=N\C(=N)Nc2ccc(C(=O)N(C)C3CCN(C)CC3)cc2)CC1,CHEMBL5973481,CHEMBL5733205,5.57,5.57,8.25,B,CHEMBL5726716,Ki,nM,UO_0000065,5.57,5.57,8.25,-9.4,0.0,0.0,-9.4,0.0,0.0,-8.0,-8.9,-8.9,-9.06,-0.44,0.1184,6.006,-8.73,1.69,0.1341,6.614,6.277422863106848,0.5279309665229011,7.44688002776009,,,7.44688002776009,-2.250218391418457,0.1207473427057266,-2.095402717590332,0.1405323147773742,-0.2857101559638977,0.1009623631834983,3EYG,8.254144804826272,high,3.934370000000003,4,155.45859999999976,0.37160085865839765,7,107.88999999999999
CCCCN(C)C1CCN(c2nc(-c3cc(Cl)ccc3OC(F)F)c(NC(=O)c3cnn4cccnc34)s2)CC1,CHEMBL3919476,CHEMBL3888505,1.22,1.22,8.91,B,CHEMBL3886737,Ki,nM,UO_0000065,1.22,1.22,8.91,-7.6,0.0,0.0,-7.6,0.0,0.0,-6.5,-7.6,-7.6,-7.79,-1.55,0.1045,7.514,-7.08,-0.29,0.19,7.616,5.947397578168179,1.1287621077330612,7.860242896877982,,,7.860242896877982,-3.5288238525390625,0.8310608863830566,-2.611957550048828,0.9910584092140198,-1.9423596858978271,0.6710633039474487,3EYG,8.913640169325252,high,6.060600000000005,9,152.90519999999975,0.2404678389030144,10,87.89
CCCCN(C)CC#Cc1nc(-c2cc(Cl)ccc2OC(F)F)c(NC(=O)c2cnn3cccnc23)s1,CHEMBL3946275,CHEMBL3888505,0.16,0.16,9.8,B,CHEMBL3886737,Ki,nM,UO_0000065,0.16,0.16,9.8,-7.4,0.0,0.0,-7.4,0.0,0.0,-6.0,-6.1,-6.5,-8.25,-1.38,0.2028,7.542,-5.88,-1.47,0.2314,6.261,5.291866633448171,5.10661793923694,7.494845127146703,,,7.494845127146703,-4.0240631103515625,0.8198660612106323,-3.174530506134033,0.99280846118927,-2.4980673789978027,0.6469236612319946,3EYG,9.795880017344077,high,5.443300000000003,8,139.4151999999999,0.28232566103316126,9,84.64999999999999
CCCCN(CC(F)(F)F)C1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,CHEMBL3897207,CHEMBL3888505,1.28,1.28,8.89,B,CHEMBL3886737,Ki,nM,UO_0000065,1.28,1.28,8.89,-7.7,0.0,0.0,-7.7,0.0,0.0,-7.0,-7.6,-7.3,-8.06,-2.61,0.8121,8.699,-8.06,-2.61,0.8121,8.699,6.423748112423908,0.3769223477635645,7.21030958105508,,,7.21030958105508,-3.915979385375977,0.7623336315155029,-2.678985595703125,0.8512182831764221,-2.2658612728118896,0.6734489798545837,3EYG,8.892790030352131,high,5.755300000000005,9,162.3831999999996,0.18950545829374787,12,109.89
CCCCOC(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,CHEMBL6050795,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.6,0.0,0.0,-8.6,0.0,0.0,-6.6,-6.8,-6.8,-9.88,-0.39,0.991,8.796,-9.88,-0.39,0.991,8.796,8.811567326256935,0.001543237165309,8.420442009093568,,,8.420442009093568,-3.128243923187256,0.836428165435791,-2.0629920959472656,0.8312380909919739,-2.2846455574035645,0.8416182994842529,3EYG,9.259637310505756,high,5.139020000000004,7,132.31209999999996,0.41643503284192135,7,108.06
CCCN1CCC(N(C(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)C2CC2)CC1,CHEMBL5818934,CHEMBL5733205,1.35,1.35,8.87,B,CHEMBL5726716,Ki,nM,UO_0000065,1.35,1.35,8.87,-8.5,0.0,0.0,-8.5,0.0,0.0,-7.1,-8.5,-7.8,-10.16,-0.56,0.7958,8.358,-8.81,-1.46,0.946,8.607,7.064626618146089,0.0861734304255466,8.110485027475928,,,8.110485027475928,-3.388290405273437,0.7085199952125549,-2.320970058441162,0.8697015643119812,-1.8656624555587769,0.5473384261131287,3EYG,8.869666231504993,high,5.910100000000006,7,166.11919999999955,0.3024084430174948,10,86.08
CCCN1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,CHEMBL3891057,CHEMBL3888505,0.5,0.5,9.3,B,CHEMBL3886737,Ki,nM,UO_0000065,0.5,0.5,9.3,-8.7,0.0,0.0,-8.7,0.0,0.0,-7.2,-8.5,-8.5,-9.99,1.84,0.1184,6.114,-8.93,-1.06,0.6342,7.819,7.403983338049906,0.039447243594005,7.21455000804659,,,7.21455000804659,-3.813234806060791,0.871800422668457,-2.8165574073791504,0.9980644583702089,-2.3460607528686523,0.7455363273620605,3EYG,9.30102999566398,high,3.6541000000000023,9,143.55619999999985,0.3259005796718022,9,109.89
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(C)(N(C)C)C1,CHEMBL5884204,CHEMBL5734864,0.1,0.1,10.0,B,CHEMBL5727541,Ki,nM,UO_0000065,0.1,0.1,10.0,-9.1,0.0,0.0,-9.1,0.0,0.0,-7.6,-7.8,-8.8,-9.31,1.06,0.1116,5.603,-9.22,1.55,0.2732,6.917,8.359929987516502,0.004365862084994,8.10631650617408,,,8.10631650617408,-2.7740063667297363,0.6722033023834229,-2.2082085609436035,0.8321678638458252,-1.042593002319336,0.5122388005256653,3EYG,10.0,high,4.326300000000003,6,156.9771999999997,0.3115555056354602,7,104.38
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(N2CCCC2)C1,CHEMBL5790072,CHEMBL5738496,0.08,0.08,10.1,B,CHEMBL5729333,Ki,nM,UO_0000065,0.08,0.08,10.1,-8.5,0.0,0.0,-8.5,0.0,0.0,-7.0,-7.8,-7.8,-9.61,9.04,0.2476,6.76,-9.61,9.04,0.2476,6.76,8.386763324925893,0.0041042771058303,7.747380537531764,,,7.747380537531764,-2.903594970703125,0.5105189085006714,-1.9462910890579224,0.5703148245811462,-1.5030834674835205,0.4507229328155517,3EYG,10.096910013008056,high,4.470400000000003,6,159.4801999999997,0.3024999760594673,7,104.38
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(N2CCCCC2)C1,CHEMBL5770840,CHEMBL5734864,0.08,0.08,10.1,B,CHEMBL5727541,Ki,nM,UO_0000065,0.08,0.08,10.1,-9.6,0.0,0.0,-9.6,0.0,0.0,-7.6,-8.4,-8.4,-9.72,2.29,0.1262,5.294,-9.56,6.14,0.2609,7.002,8.00084542907099,0.0099805522116172,7.591530748999343,,,7.591530748999343,-2.7322587966918945,0.6102123260498047,-2.0546650886535645,0.6263004541397095,-1.0127381086349487,0.5941242575645447,3EYG,10.096910013008056,high,4.8605000000000045,6,164.09719999999965,0.28628683589431947,7,104.38
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(NC)C1,CHEMBL6032608,CHEMBL5734864,0.06,0.06,10.22,B,CHEMBL5727541,Ki,nM,UO_0000065,0.06,0.06,10.22,-8.9,0.0,0.0,-8.9,0.0,0.0,-7.5,-8.6,-8.7,-9.31,1.31,0.0852,5.767,-9.27,1.28,0.5425,8.443,8.439769036091949,0.0036327119613458,8.357175154768406,,,8.357175154768406,-3.046346664428711,0.7521867752075195,-2.5258922576904297,0.9148333072662354,-1.3571420907974243,0.5895401835441589,3EYG,10.221848749616356,high,3.594000000000001,6,147.7328999999998,0.2899731078559206,7,113.17
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2C[C@@H]1C(=O)N1CC(C)(N(C)C)C1,CHEMBL5803623,CHEMBL5734864,0.08,0.08,10.0,B,CHEMBL5727541,Ki,nM,UO_0000065,0.08,0.08,10.0,-7.0,0.0,0.0,-7.0,0.0,0.0,-6.1,-6.3,-6.3,-8.98,1.07,0.0998,5.485,-7.98,0.45,0.2596,6.377,8.07361397206703,0.0084408469936996,8.127686188318279,,,8.127686188318279,-3.053098678588867,0.7022372484207153,-2.460005760192871,0.8757811188697815,-1.3255923986434937,0.5286933779716492,3EYG,10.096910013008056,high,4.326300000000003,6,156.9771999999997,0.3115555056354602,7,104.38
