target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh,pearson_ci_low,pearson_ci_high,pearson_perm_p,spearman_ci_low,spearman_ci_high,spearman_perm_p,kendall_ci_low,kendall_ci_high,kendall_perm_p,calibrated_rmse,calibrated_rmse_ci_low,calibrated_rmse_ci_high,calibrated_rmse_boot_mean,calibrated_mae,calibrated_mae_ci_low,calibrated_mae_ci_high,calibrated_mae_boot_mean
1g5m,boltz2,boltz2_affinity_pred_value,244,0.49364950832661925,2.1552484735477735e-16,0.5376209336933547,1.1178273602602654e-19,0.38536211550695026,3.3140595589843424e-19,Boltz-2,6.63153376476238e-16,4.471309441041062e-19,1.325623823593737e-18,0.35221810179627905,0.613028858872195,9.999000099990002e-05,0.4284376012792491,0.6333437923678114,9.999000099990002e-05,0.3049674425625519,0.46042625574577434,9.999000099990002e-05,0.6924034486710198,0.5895078058085154,0.7930072198693826,0.6858916361119712,0.5154390764151386,0.4548091489480097,0.5771885995513522,0.5132720226161231
1g5m,dynamicbind,dynamicbind_affinity_bestpose,244,0.16312311076145725,0.010707676597697854,0.19662428715658037,0.002030213123643879,0.13513837480283153,0.0016820533632796787,DynamicBind,0.014276902130263806,0.00300772314613908,0.0025389484728749866,0.039263613069643544,0.2816068446300502,0.0105989401059894,0.07164045184738096,0.3179541424004745,0.0011998800119988001,0.04763412746911162,0.22166884005747547,0.0015998400159984002,0.7855121086896953,0.6810122884314869,0.8863405360340181,0.7805387434795608,0.5819658092827849,0.5117555215922981,0.6551714222133564,0.5800253832973327
1g5m,gnina,gnina_cnn_affinity_bestpose,242,0.09202258400645486,0.15353568318920546,0.08155248514898475,0.20615928558554997,0.05673979437231344,0.18909879805422058,GNINA 1.3,0.18332618888263338,0.23229215277245063,0.2161129120619664,-0.0367656192677256,0.2138117675480868,0.16058394160583941,-0.039152425674441334,0.1998744994346928,0.20427957204279573,-0.022384075356559664,0.13445518765139644,0.19668033196680332,0.79598494419633,0.6895975270410886,0.8990371704822703,0.7917653917026738,0.5862660930458238,0.5143979749909735,0.6624296418601966,0.5861570619910532
1g5m,plapt,plapt_affinity,244,-0.05782335593660424,0.3684693060751077,-0.03864424617808554,0.5479950921979184,-0.02791891980063494,0.5163545388314047,PLAPT,0.39834519575687316,0.5845280983444463,0.5507781747534983,-0.1651908647519262,0.048782678031935076,0.37776222377762225,-0.163712007276742,0.08636707970673009,0.5480451954804519,-0.10849842064009677,0.0547415398638433,0.5216478352164784,0.7948441772546191,0.6899183368891647,0.9013066224867728,0.7904902100861788,0.5797089332749279,0.5100750354199677,0.6508323347591122,0.5781114460662181
1g5m,qvina,qvina_affinity_bestpose,244,0.10212629705026352,0.1115566663178966,0.11380457376032835,0.07600947297583543,0.07769532201889823,0.07536399730233953,QVina2,0.13522020159745043,0.0950118412197943,0.09420499662792442,-0.02566028472014837,0.22440873780544368,0.1040895910408959,-0.016788537145536814,0.24165479492004488,0.07649235076492351,-0.013403126255474433,0.1664878507529774,0.0680931906809319,0.7920134605845848,0.6859861467583824,0.8959100066690828,0.7872570255686171,0.576480522091155,0.5038284052707414,0.6499406403331375,0.5745330542379455
2z5x,boltz2,boltz2_affinity_pred_value,208,0.22395569819353142,0.0011464617404698084,0.16655856053884718,0.016195243610388915,0.1102874920944502,0.018906813873435863,Boltz-2,0.0018717742701547893,0.022338267048812296,0.02607836396335981,0.054699291700620024,0.37473611324516143,0.0015998400159984002,0.027387027678881886,0.29570326168259914,0.017198280171982803,0.012278521854343964,0.20401009672045287,0.0182981701829817,1.2805278633928192,1.1620070984780952,1.381651505656065,1.2721862648581361,1.0846701472940963,0.9750142878844534,1.1754092331457395,1.0762058874586218
2z5x,dynamicbind,dynamicbind_affinity_bestpose,213,-0.08457950515697038,0.21894528338666458,-0.1554619715544725,0.023246646592010586,-0.10864332419767438,0.019260205358667813,DynamicBind,0.25758268633725245,0.031520876734929607,0.02611553268971907,-0.23223863440987796,0.0608006934750329,0.2121787821217878,-0.2888941624758072,-0.023866597260890687,0.0212978702129787,-0.1998389992307428,-0.016895525622400008,0.018998100189981004,1.3194678646488367,1.1877007092166476,1.4279695755280628,1.3100997878678824,1.1092995463120932,0.9855320429207545,1.2081700769199957,1.098701448403756
2z5x,gnina,gnina_cnn_affinity_bestpose,212,0.05517037214306489,0.42420208918053476,0.004883926477071207,0.9436436560150122,0.0007666189360834555,0.9868553260138918,GNINA 1.3,0.44652851492687873,0.9436436560150122,0.9868553260138919,-0.08641166949596633,0.1861113915900084,0.41255874412558746,-0.13610197225497014,0.13984356339065077,0.942905709429057,-0.09018285319394485,0.0918438655605943,0.9865013498650135,1.3226836311450767,1.2013900268528572,1.4251492469090112,1.3139436435869876,1.1292927323069002,1.0188539460402906,1.2190465444685659,1.119489093755153
2z5x,plapt,plapt_affinity,213,-0.18652652308502707,0.006328654709853008,-0.1914763590836388,0.0050464558876874704,-0.13526808621322287,0.003568050411909004,PLAPT,0.008882322399793696,0.007082745105526274,0.0051898915082312785,-0.3162783812135833,-0.054420626723164355,0.006199380061993801,-0.33063763956916403,-0.05007903848098886,0.0051994800519948,-0.22956361559105518,-0.04057966604938441,0.003999600039996,1.3009728374252083,1.1757089672796672,1.4094740611187346,1.292161201879747,1.0817741353687838,0.9724903439987402,1.1786319235689497,1.0745622167705637
2z5x,qvina,qvina_affinity_bestpose,212,0.05084402774569618,0.4614874189708119,0.03327527923789633,0.6299733555429097,0.021315885248028094,0.6500057188931496,QVina2,0.479467448281363,0.6631298479399049,0.6842165462033154,-0.0930721629083545,0.18900794398520568,0.4480551944805519,-0.10168344971406397,0.16957792573804667,0.6322367763223677,-0.07327104155889691,0.11243012928192589,0.6513348665133487,1.3229878498394294,1.2001470769480684,1.4285575067222123,1.3139743778652346,1.126066535350966,1.017256512965324,1.2137560039221675,1.1161529448952674
