canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
CC(C)C[C@H](NC(=O)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc12)C(=O)NS(=O)(=O)c1ccccc1;CHEMBL3994257;6200.0;6.2;;;17960334;[];Inhibition of N-terminal FAM-labeled Bid-BH3 peptide binding to Bcl-XL (unknown origin) preincubated for 30 mins followed by N-terminal FAM-labeled Bid-BH3 peptide addition measured after 20 mins by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3992555;Bioorg Med Chem;2017.0;{'bei': '8.48', 'le': '0.17', 'lle': '-1.45', 'sei': '5.35'};CHEMBL4069319;;CHEMBL4069319;5.21;0;http://www.openphacts.org/units/Nanomolar;2975855;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(C)Cc1cc(-c2ccc(-c3ccc(CCC(=O)O)cc3CC(C)C)cc2Cc2cccc3ccccc23)ccc1OCC(=O)O;CHEMBL4052864;114.0;114.0;;;18243605;[];Inhibition of fluorescein-labeled 16-mer Bak peptide binding to Bcl-xL (unknown origin) by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4052581;J Med Chem;2017.0;{'bei': '11.04', 'le': '0.20', 'lle': '-2.70', 'sei': '8.28'};CHEMBL4061247;;CHEMBL4061247;6.94;0;http://www.openphacts.org/units/Nanomolar;3027345;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;nM;UO_0000065;;False
CC(C)Cc1cc(-c2ccc(-c3ccc(CCC(=O)O)cc3CC(C)C)cc2Cc2ccccc2)ccc1OCC(=O)O.N.N;CHEMBL4398472;1500.0;1500.0;;;19235605;[];Inhibition of GST-tagged Bcl-xL (unknown origin) after 3 hrs by pull-down assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4396893;Eur J Med Chem;2019.0;{'bei': '10.06', 'le': '0.18', 'lle': '-2.67', 'sei': '6.95'};CHEMBL2070024;;CHEMBL2078861;5.82;0;http://www.openphacts.org/units/Nanomolar;3210973;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;nM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(C)(C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL909601;0.8;0.8;;;1815598;[];Displacement of Bad-derived peptide from Bcl-xL by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1141382;J Med Chem;2007.0;{'bei': '15.24', 'le': '0.30', 'lle': '2.78', 'sei': '7.48'};CHEMBL387141;;CHEMBL387141;9.1;0;http://www.openphacts.org/units/Nanomolar;624699;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;nM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859053;19.0;0.019;;;1681293;[];Binding affinity to Bcl-XL by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '13.58', 'le': '0.27', 'lle': '2.18', 'sei': '6.35'};CHEMBL383229;;CHEMBL383229;7.72;0;http://www.openphacts.org/units/Nanomolar;425035;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859054;652.0;0.652;;;1681324;[];Binding affinity to Bcl-XL in 1% human serum by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '10.88', 'le': '0.22', 'lle': '0.65', 'sei': '5.08'};CHEMBL383229;;CHEMBL383229;6.19;0;http://www.openphacts.org/units/Nanomolar;425035;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H](CCN4CCOCC4)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859053;75.0;0.075;;;1681286;[];Binding affinity to Bcl-XL by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '10.45', 'le': '0.21', 'lle': '1.48', 'sei': '5.31'};CHEMBL378820;;CHEMBL378820;7.12;0;http://www.openphacts.org/units/Nanomolar;425042;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H](CCN4CCOCC4)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859054;6050.0;6.05;;;1681317;[];Binding affinity to Bcl-XL in 1% human serum by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '7.65', 'le': '0.15', 'lle': '-0.42', 'sei': '3.89'};CHEMBL378820;;CHEMBL378820;5.22;0;http://www.openphacts.org/units/Nanomolar;425042;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCCCN)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859053;1.0;0.001;;;1681288;[];Binding affinity to Bcl-XL by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '14.07', 'le': '0.28', 'lle': '2.96', 'sei': '6.09'};CHEMBL370836;;CHEMBL370836;9.0;0;http://www.openphacts.org/units/Nanomolar;425040;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCCCN)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859054;256.0;0.256;;;1681319;[];Binding affinity to Bcl-XL in 1% human serum by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '10.30', 'le': '0.20', 'lle': '0.55', 'sei': '4.46'};CHEMBL370836;;CHEMBL370836;6.59;0;http://www.openphacts.org/units/Nanomolar;425040;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
