canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value
N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1;CHEMBL682313;16000.0;16000.0;;;694015;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '11.95', 'le': '0.23', 'lle': '2.35', 'sei': '6.36'};CHEMBL23110;;CHEMBL23110;4.8;0;http://www.openphacts.org/units/Nanomolar;31200;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1;CHEMBL682313;5300.0;5300.0;;;706257;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '10.87', 'le': '0.23', 'lle': '2.66', 'sei': '5.19'};CHEMBL423108;;CHEMBL423108;5.28;0;http://www.openphacts.org/units/Nanomolar;31191;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1;CHEMBL768689;40000.0;40000.0;;;308227;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '12.23', 'le': '0.23', 'lle': '1.98', 'sei': '5.19'};CHEMBL22679;;CHEMBL22679;4.4;0;http://www.openphacts.org/units/Nanomolar;273702;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1;CHEMBL682313;29000.0;29000.0;;;683566;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '12.42', 'le': '0.24', 'lle': '2.34', 'sei': '6.02'};CHEMBL278558;;CHEMBL278558;4.54;0;http://www.openphacts.org/units/Nanomolar;31203;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1;CHEMBL768689;17000.0;17000.0;;;337685;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '12.57', 'le': '0.23', 'lle': '1.69', 'sei': '6.32'};CHEMBL3084944;;CHEMBL3084944;4.77;0;http://www.openphacts.org/units/Nanomolar;273694;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1;CHEMBL768689;35000.0;35000.0;;;319707;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '11.10', 'le': '0.23', 'lle': '2.71', 'sei': '4.82'};CHEMBL25437;;CHEMBL25437;4.46;0;http://www.openphacts.org/units/Nanomolar;273699;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1;CHEMBL768689;5700.0;5700.0;;;331197;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '11.67', 'le': '0.24', 'lle': '2.87', 'sei': '5.15'};CHEMBL23979;;CHEMBL23979;5.24;0;http://www.openphacts.org/units/Nanomolar;273700;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCSC1)C1CCCCC1;CHEMBL682313;28000.0;28000.0;;;674222;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '19.94', 'le': '0.41', 'lle': '3.12', 'sei': '9.83'};CHEMBL23223;;CHEMBL23223;4.55;0;http://www.openphacts.org/units/Nanomolar;31176;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1;CHEMBL768689;1900.0;1900.0;;;336426;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '11.71', 'le': '0.30', 'lle': '2.89', 'sei': '6.54'};CHEMBL3084953;;CHEMBL3084953;5.72;0;http://www.openphacts.org/units/Nanomolar;273705;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1;CHEMBL768689;5900.0;5900.0;;;308221;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '13.64', 'le': '0.27', 'lle': '3.12', 'sei': '6.93'};CHEMBL22359;;CHEMBL22359;5.23;0;http://www.openphacts.org/units/Nanomolar;273687;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
