metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,1.5830618892508144,1.0,0.7710043127763725,0.9459755997305769,486,307,5,asc,1.2119700748129676,1.0,0.8790083614493179,0.9979886462618441,486,401,5,asc,5.7176470588235295,1.0,0.8790083614493179,0.7647885058415571,486,85,5,desc,1.5830618892508144,1.0,0.7710043127763725,0.9459755997305769,486,307,25,asc,1.2119700748129676,1.0,0.8790083614493179,0.9979886462618441,486,401,25,asc,4.574117647058824,0.8,0.8790083614493179,0.7647885058415571,486,85,20,desc,1.4861397327660708,0.9387755102040818,0.7710043127763725,0.9459755997305769,486,307,46,asc,1.2119700748129676,1.0,0.8790083614493179,0.9979886462618441,486,401,49,asc,4.317406962785114,0.7551020408163265,0.8790083614493179,0.7647885058415571,486,85,37,desc,5jkv,5JKV,boltz2,Boltz-2
dynamicbind_affinity_bestpose,1.2675324675324675,0.8,0.6091450216450216,0.7057876847362141,488,308,4,desc,1.2139303482587065,1.0,0.5312102279301169,0.8278958915069705,488,402,5,desc,1.1348837209302327,0.2,0.5312102279301169,0.18614482063851492,488,86,1,asc,1.0774025974025974,0.68,0.6091450216450216,0.7057876847362141,488,308,17,desc,0.9711442786069653,0.8,0.5312102279301169,0.8278958915069705,488,402,20,desc,1.1348837209302327,0.2,0.5312102279301169,0.18614482063851492,488,86,5,asc,1.1317254174397031,0.7142857142857143,0.6091450216450216,0.7057876847362141,488,308,35,desc,1.0157376383389178,0.8367346938775512,0.5312102279301169,0.8278958915069705,488,402,41,desc,0.8106312292358804,0.14285714285714285,0.5312102279301169,0.18614482063851492,488,86,7,asc,5jkv,5JKV,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,1.581168831168831,1.0,0.6040865559021984,0.8509242677014043,487,308,5,desc,1.2114427860696517,1.0,0.5923324553702077,0.9756831603937521,487,402,5,desc,2.291764705882353,0.4,0.5923324553702077,0.21627242117547443,487,85,2,asc,1.4546753246753246,0.92,0.6040865559021984,0.8509242677014043,487,308,23,desc,1.2114427860696517,1.0,0.5923324553702077,0.9756831603937521,487,402,25,desc,0.9167058823529411,0.16,0.5923324553702077,0.21627242117547443,487,85,4,asc,1.2907500662602702,0.8163265306122449,0.6040865559021984,0.8509242677014043,487,308,40,desc,1.1619961417402782,0.9591836734693878,0.5923324553702077,0.9756831603937521,487,402,47,desc,1.1692677070828332,0.20408163265306123,0.5923324553702077,0.21627242117547443,487,85,10,asc,5jkv,5JKV,gnina,GNINA 1.3
plapt_affinity,0.9506493506493505,0.6,0.5905844155844155,0.7205876895719208,488,308,3,desc,0.7283582089552239,0.6,0.5806432951521463,0.8121110223129083,488,402,3,desc,2.2697674418604654,0.4,0.5806432951521463,0.28239187094386514,488,86,2,asc,1.2041558441558442,0.7600000000000001,0.5905844155844155,0.7205876895719208,488,308,19,desc,0.9711442786069653,0.8,0.5806432951521463,0.8121110223129083,488,402,20,desc,1.3618604651162791,0.24,0.5806432951521463,0.28239187094386514,488,86,6,asc,1.0993904055128545,0.6938775510204083,0.5905844155844155,0.7205876895719208,488,308,34,desc,1.0405117270788913,0.8571428571428571,0.5806432951521463,0.8121110223129083,488,402,42,desc,1.3896535358329378,0.24489795918367346,0.5806432951521463,0.28239187094386514,488,86,12,asc,5jkv,5JKV,plapt,PLAPT
qvina_affinity_bestpose,1.2649350649350648,0.8,0.6124301675977654,0.7787647317086344,487,308,4,asc,1.2114427860696517,1.0,0.6248024582967515,0.9365576352308116,487,402,5,asc,1.1458823529411766,0.2,0.6248024582967515,0.3008371353040924,487,85,1,desc,1.2649350649350648,0.8,0.6124301675977654,0.7787647317086344,487,308,20,asc,1.1145273631840795,0.9199999999999999,0.6248024582967515,0.9365576352308116,487,402,23,asc,2.0625882352941174,0.35999999999999993,0.6248024582967515,0.3008371353040924,487,85,9,desc,1.2584813146037634,0.7959183673469388,0.6124301675977654,0.7787647317086344,487,308,39,asc,1.1125494974109047,0.9183673469387755,0.6248024582967515,0.9365576352308116,487,402,45,asc,1.9877551020408162,0.3469387755102041,0.6248024582967515,0.3008371353040924,487,85,17,desc,5jkv,5JKV,qvina,QVina2
