metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,4.611111111111111,1.0,0.9102564102564102,0.8221195274274985,83,18,1,asc,2.024390243902439,1.0,0.8344947735191638,0.8757786638471664,83,41,1,asc,1.9761904761904763,1.0,0.8344947735191638,0.9100949573797621,83,42,1,desc,3.688888888888889,0.8000000000000002,0.9102564102564102,0.8221195274274985,83,18,4,asc,1.6195121951219513,0.8,0.8344947735191638,0.8757786638471664,83,41,4,asc,1.580952380952381,0.8,0.8344947735191638,0.9100949573797621,83,42,4,desc,3.5864197530864197,0.7777777777777778,0.9102564102564102,0.8221195274274985,83,18,7,asc,1.5745257452574526,0.7777777777777778,0.8344947735191638,0.8757786638471664,83,41,7,asc,1.7566137566137567,0.888888888888889,0.8344947735191638,0.9100949573797621,83,42,8,desc,7awe,7AWE,boltz2,Boltz-2
dynamicbind_affinity_bestpose,0.0,0.0,0.676923076923077,0.20001610131665057,83,18,0,desc,0.0,0.0,0.6306620209059234,0.5276905492038776,83,41,0,desc,1.9761904761904763,1.0,0.6306620209059234,0.8063108696824853,83,42,1,asc,0.9222222222222223,0.20000000000000004,0.676923076923077,0.20001610131665057,83,18,1,desc,0.8097560975609757,0.4,0.6306620209059234,0.5276905492038776,83,41,2,desc,1.9761904761904763,1.0,0.6306620209059234,0.8063108696824853,83,42,5,asc,1.0246913580246912,0.2222222222222222,0.676923076923077,0.20001610131665057,83,18,2,desc,1.3495934959349594,0.6666666666666666,0.6306620209059234,0.5276905492038776,83,41,6,desc,1.3174603174603174,0.6666666666666666,0.6306620209059234,0.8063108696824853,83,42,6,asc,7awe,7AWE,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,3.9333333333333336,1.0,0.7833333333333333,0.6306308495562994,59,15,1,desc,2.185185185185185,1.0,0.7193287037037037,0.8779082697267067,59,27,1,desc,1.84375,1.0,0.7193287037037037,0.736112329838621,59,32,1,asc,2.6222222222222222,0.6666666666666666,0.7833333333333333,0.6306308495562994,59,15,2,desc,2.185185185185185,1.0,0.7193287037037037,0.8779082697267067,59,27,3,desc,1.2291666666666665,0.6666666666666666,0.7193287037037037,0.736112329838621,59,32,2,asc,2.6222222222222222,0.6666666666666666,0.7833333333333333,0.6306308495562994,59,15,4,desc,1.8209876543209877,0.8333333333333334,0.7193287037037037,0.8779082697267067,59,27,5,desc,1.5364583333333335,0.8333333333333334,0.7193287037037037,0.736112329838621,59,32,5,asc,7awe,7AWE,gnina,GNINA 1.3
plapt_affinity,4.611111111111111,1.0,0.6957264957264957,0.4205261472729463,83,18,1,desc,2.024390243902439,1.0,0.6991869918699187,0.6190456912066212,83,41,1,desc,1.9761904761904763,1.0,0.6991869918699187,0.9656385898478191,83,42,1,asc,1.8444444444444446,0.4000000000000001,0.6957264957264957,0.4205261472729463,83,18,2,desc,1.2146341463414634,0.6,0.6991869918699187,0.6190456912066212,83,41,3,desc,1.9761904761904763,1.0,0.6991869918699187,0.9656385898478191,83,42,5,asc,1.537037037037037,0.33333333333333337,0.6957264957264957,0.4205261472729463,83,18,3,desc,0.8997289972899729,0.4444444444444444,0.6991869918699187,0.6190456912066212,83,41,4,desc,1.7566137566137567,0.888888888888889,0.6991869918699187,0.9656385898478191,83,42,8,asc,7awe,7AWE,plapt,PLAPT
qvina_affinity_bestpose,0.0,0.0,0.32154882154882153,0.0003104053118859453,42,9,0,asc,0.0,0.0,0.24814814814814815,0.0009899722228763372,42,15,0,asc,0.0,0.0,0.24814814814814815,0.3309854293212336,42,27,0,desc,0.0,0.0,0.32154882154882153,0.0003104053118859453,42,9,0,asc,0.0,0.0,0.24814814814814815,0.0009899722228763372,42,15,0,asc,0.5185185185185185,0.33333333333333337,0.24814814814814815,0.3309854293212336,42,27,1,desc,0.0,0.0,0.32154882154882153,0.0003104053118859453,42,9,0,asc,0.0,0.0,0.24814814814814815,0.0009899722228763372,42,15,0,asc,0.6222222222222222,0.4000000000000001,0.24814814814814815,0.3309854293212336,42,27,2,desc,7awe,7AWE,qvina,QVina2
