metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,,,,,113,0,0,asc,0.0,0.0,0.7520215633423181,0.18430004693928653,113,7,0,asc,1.0660377358490565,1.0,0.7520215633423181,0.9990783493195021,113,106,2,desc,,,,,113,0,0,asc,2.6904761904761902,0.16666666666666666,0.7520215633423181,0.18430004693928653,113,7,1,asc,1.0660377358490565,1.0,0.7520215633423181,0.9990783493195021,113,106,6,desc,,,,,113,0,0,asc,2.6904761904761902,0.28571428571428564,0.7520215633423181,0.18430004693928653,113,7,2,asc,1.0660377358490565,1.0,0.7520215633423181,0.9990783493195021,113,106,12,desc,4tz4,4TZ4,boltz2,Boltz-2
dynamicbind_affinity_bestpose,,,,,113,0,0,desc,8.071428571428571,0.5,0.784366576819407,0.4578726638741392,113,7,1,desc,1.0660377358490565,1.0,0.784366576819407,0.9999907341943414,113,106,2,asc,,,,,113,0,0,desc,8.071428571428571,0.5,0.784366576819407,0.4578726638741392,113,7,3,desc,1.0660377358490565,1.0,0.784366576819407,0.9999907341943414,113,106,6,asc,,,,,113,0,0,desc,4.035714285714286,0.4285714285714285,0.784366576819407,0.4578726638741392,113,7,3,desc,1.0660377358490565,1.0,0.784366576819407,0.9999907341943414,113,106,12,asc,4tz4,4TZ4,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,,,,,112,0,0,desc,0.0,0.0,0.7183673469387755,0.25670843386957315,112,7,0,desc,1.0666666666666667,1.0,0.7183673469387755,0.9998079005430807,112,105,2,asc,,,,,112,0,0,desc,5.333333333333333,0.3333333333333333,0.7183673469387755,0.25670843386957315,112,7,2,desc,1.0666666666666667,1.0,0.7183673469387755,0.9998079005430807,112,105,6,asc,,,,,112,0,0,desc,2.6666666666666665,0.2857142857142857,0.7183673469387755,0.25670843386957315,112,7,2,desc,1.0666666666666667,1.0,0.7183673469387755,0.9998079005430807,112,105,12,asc,4tz4,4TZ4,gnina,GNINA 1.3
plapt_affinity,,,,,113,0,0,desc,0.0,0.0,0.5983827493261455,0.1534632010866437,113,7,0,desc,1.0660377358490565,1.0,0.5983827493261455,0.8337102436571071,113,106,2,asc,,,,,113,0,0,desc,2.6904761904761902,0.16666666666666666,0.5983827493261455,0.1534632010866437,113,7,1,desc,0.8883647798742139,0.8333333333333335,0.5983827493261455,0.8337102436571071,113,106,5,asc,,,,,113,0,0,desc,2.6904761904761902,0.28571428571428564,0.5983827493261455,0.1534632010866437,113,7,2,desc,0.8883647798742139,0.8333333333333335,0.5983827493261455,0.8337102436571071,113,106,10,asc,4tz4,4TZ4,plapt,PLAPT
qvina_affinity_bestpose,,,,,112,0,0,asc,0.0,0.0,0.49523809523809526,0.004500081350874299,112,7,0,asc,1.0666666666666667,1.0,0.49523809523809526,0.9946120992072082,112,105,2,desc,,,,,112,0,0,asc,2.6666666666666665,0.16666666666666666,0.49523809523809526,0.004500081350874299,112,7,1,asc,1.0666666666666667,1.0,0.49523809523809526,0.9946120992072082,112,105,6,desc,,,,,112,0,0,asc,2.6666666666666665,0.2857142857142857,0.49523809523809526,0.004500081350874299,112,7,2,asc,1.0666666666666667,1.0,0.49523809523809526,0.9946120992072082,112,105,12,desc,4tz4,4TZ4,qvina,QVina2
