metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,2.185089974293059,1.0,0.8823893514155546,0.9861791792863656,850,389,9,asc,1.4382402707275803,1.0,0.8614415721014705,0.9961363663631398,850,591,9,asc,2.9172029172029172,0.8888888888888888,0.8614415721014705,0.7761547034687862,850,259,8,desc,2.185089974293059,1.0,0.8823893514155546,0.9861791792863656,850,389,43,asc,1.4382402707275803,1.0,0.8614415721014705,0.9961363663631398,850,591,43,asc,2.671275927089881,0.8139534883720931,0.8614415721014705,0.7761547034687862,850,259,35,desc,2.159383033419023,0.988235294117647,0.8823893514155546,0.9861791792863656,850,389,84,asc,1.4213197969543148,0.9882352941176471,0.8614415721014705,0.9961363663631398,850,591,84,asc,2.5096525096525095,0.7647058823529411,0.8614415721014705,0.7761547034687862,850,259,65,desc,4ase,4ASE,boltz2,Boltz-2
dynamicbind_affinity_bestpose,0.7292202227934875,0.3333333333333333,0.5985989160796359,0.44099789240582765,851,389,3,desc,0.7999623989471705,0.5555555555555556,0.6457828973057399,0.7514182414777854,851,591,5,desc,3.2730769230769234,1.0,0.6457828973057399,0.7022246978103259,851,260,9,asc,0.9666407604471812,0.4418604651162791,0.5985989160796359,0.44099789240582765,851,389,19,desc,1.0715775390548143,0.7441860465116279,0.6457828973057399,0.7514182414777854,851,591,32,desc,2.5880143112701255,0.7906976744186046,0.6457828973057399,0.7022246978103259,851,260,34,asc,1.0175165899444012,0.46511627906976744,0.5985989160796359,0.44099789240582765,851,389,40,desc,1.0883209381025458,0.7558139534883721,0.6457828973057399,0.7514182414777854,851,591,65,desc,2.055187835420394,0.627906976744186,0.6457828973057399,0.7022246978103259,851,260,54,asc,4ase,4ASE,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,1.710702828813065,0.7777777777777778,0.7594749507515062,0.6345146852079957,838,381,7,desc,1.277682485229655,0.8888888888888888,0.7927387078330475,0.9070122921649328,838,583,8,desc,3.286274509803922,1.0,0.7927387078330475,0.7649078159913133,838,255,9,asc,1.2568428946381702,0.5714285714285714,0.7594749507515062,0.6345146852079957,838,381,24,desc,1.3347218818916933,0.9285714285714285,0.7927387078330475,0.9070122921649328,838,583,39,desc,2.582072829131653,0.7857142857142857,0.7927387078330475,0.7649078159913133,838,255,33,asc,1.3092113485814274,0.5952380952380953,0.7594749507515062,0.6345146852079957,838,381,50,desc,1.3176100628930818,0.9166666666666666,0.7927387078330475,0.9070122921649328,838,583,77,desc,2.503828197945845,0.7619047619047619,0.7927387078330475,0.7649078159913133,838,255,64,asc,4ase,4ASE,gnina,GNINA 1.3
plapt_affinity,1.215367037989146,0.5555555555555556,0.6123037202728719,0.5276735369926734,851,389,5,desc,1.4399323181049068,1.0,0.6193739424703891,0.8277324621013132,851,591,9,desc,2.9094017094017093,0.8888888888888887,0.6193739424703891,0.6264007635945086,851,260,8,asc,1.3736473964249416,0.627906976744186,0.6123037202728719,0.5276735369926734,851,389,27,desc,1.305985125723055,0.9069767441860465,0.6193739424703891,0.8277324621013132,851,591,39,desc,2.2074239713774597,0.6744186046511627,0.6193739424703891,0.6264007635945086,851,260,29,asc,1.0175165899444012,0.46511627906976744,0.6123037202728719,0.5276735369926734,851,389,40,desc,1.1050643371502775,0.7674418604651164,0.6193739424703891,0.8277324621013132,851,591,66,desc,1.9790697674418605,0.6046511627906976,0.6193739424703891,0.6264007635945086,851,260,52,asc,4ase,4ASE,plapt,PLAPT
qvina_affinity_bestpose,1.9550889472149313,0.8888888888888888,0.643394958562346,0.7663694197863327,838,381,8,asc,1.437392795883362,1.0,0.7005515756903105,0.9454249046767352,838,583,9,asc,3.286274509803922,1.0,0.7005515756903105,0.6778258356218585,838,255,9,desc,1.8328958880139983,0.8333333333333334,0.643394958562346,0.7663694197863327,838,381,35,asc,1.4031691578861392,0.9761904761904762,0.7005515756903105,0.9454249046767352,838,583,41,asc,2.34733893557423,0.7142857142857143,0.7005515756903105,0.6778258356218585,838,255,30,desc,1.62342207224097,0.7380952380952381,0.643394958562346,0.7663694197863327,838,381,62,asc,1.3347218818916933,0.9285714285714285,0.7005515756903105,0.9454249046767352,838,583,78,asc,2.190849673202614,0.6666666666666665,0.7005515756903105,0.6778258356218585,838,255,56,desc,4ase,4ASE,qvina,QVina2
