metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,1.693877551020408,1.0,0.9611177804455115,0.9999393215586743,249,147,3,asc,1.345945945945946,1.0,0.9350506756756757,0.9999961348832831,249,185,3,asc,3.8906250000000004,1.0,0.9350506756756757,0.9060317017884009,249,64,3,desc,1.693877551020408,1.0,0.9611177804455115,0.9999393215586743,249,147,13,asc,1.345945945945946,1.0,0.9350506756756757,0.9999961348832831,249,185,13,asc,3.8906250000000004,1.0,0.9350506756756757,0.9060317017884009,249,64,13,desc,1.693877551020408,1.0,0.9611177804455115,0.9999393215586743,249,147,25,asc,1.345945945945946,1.0,0.9350506756756757,0.9999961348832831,249,185,25,asc,3.2681250000000004,0.84,0.9350506756756757,0.9060317017884009,249,64,21,desc,6jok,6JOK,boltz2,Boltz-2
dynamicbind_affinity_bestpose,0.5630630630630631,0.3333333333333333,0.6057896131425543,0.46556141589897687,250,148,1,desc,1.3440860215053763,1.0,0.7540322580645161,0.8767266339968625,250,186,3,desc,3.90625,1.0,0.7540322580645161,0.9196672356170995,250,64,3,asc,0.6496881496881498,0.3846153846153847,0.6057896131425543,0.46556141589897687,250,148,5,desc,1.1373035566583953,0.8461538461538461,0.7540322580645161,0.8767266339968625,250,186,11,desc,3.90625,1.0,0.7540322580645161,0.9196672356170995,250,64,13,asc,0.8108108108108109,0.48,0.6057896131425543,0.46556141589897687,250,148,12,desc,1.1827956989247312,0.8800000000000001,0.7540322580645161,0.8767266339968625,250,186,22,desc,3.59375,0.92,0.7540322580645161,0.9196672356170995,250,64,23,asc,6jok,6JOK,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,1.704225352112676,1.0,0.8415492957746479,0.8512524414450083,242,142,3,desc,1.3444444444444446,1.0,0.8241487455197133,0.948562385663139,242,180,3,desc,2.6021505376344085,0.6666666666666665,0.8241487455197133,0.6784031441376223,242,62,2,asc,1.3109425785482123,0.7692307692307692,0.8415492957746479,0.8512524414450083,242,142,10,desc,1.241025641025641,0.923076923076923,0.8241487455197133,0.948562385663139,242,180,12,desc,2.4019851116625315,0.6153846153846154,0.8241487455197133,0.6784031441376223,242,62,8,asc,1.4997183098591549,0.88,0.8415492957746479,0.8512524414450083,242,142,22,desc,1.2906666666666666,0.9599999999999999,0.8241487455197133,0.948562385663139,242,180,24,desc,2.6541935483870973,0.68,0.8241487455197133,0.6784031441376223,242,62,17,asc,6jok,6JOK,gnina,GNINA 1.3
plapt_affinity,1.1261261261261262,0.6666666666666666,0.6067832538420773,0.639317539058411,250,148,2,desc,0.8960573476702508,0.6666666666666666,0.667926747311828,0.8024250769541845,250,186,2,desc,2.6041666666666665,0.6666666666666666,0.667926747311828,0.5788754544786512,250,64,2,asc,1.0395010395010396,0.6153846153846154,0.6067832538420773,0.639317539058411,250,148,8,desc,1.1373035566583953,0.8461538461538461,0.667926747311828,0.8024250769541845,250,186,11,desc,2.4038461538461537,0.6153846153846153,0.667926747311828,0.5788754544786512,250,64,8,asc,0.8783783783783784,0.52,0.6067832538420773,0.639317539058411,250,148,13,desc,1.021505376344086,0.76,0.667926747311828,0.8024250769541845,250,186,19,desc,2.1875,0.56,0.667926747311828,0.5788754544786512,250,64,14,asc,6jok,6JOK,plapt,PLAPT
qvina_affinity_bestpose,0.5680751173708919,0.33333333333333326,0.6572887323943662,0.4816737975235612,242,142,1,asc,0.44814814814814813,0.3333333333333333,0.7266577060931899,0.7577176611642977,242,180,1,asc,2.6021505376344085,0.6666666666666665,0.7266577060931899,0.6945223004287663,242,62,2,desc,0.6554712892741061,0.3846153846153846,0.6572887323943662,0.4816737975235612,242,142,5,asc,0.9307692307692308,0.6923076923076923,0.7266577060931899,0.7577176611642977,242,180,9,asc,2.7022332506203477,0.6923076923076923,0.7266577060931899,0.6945223004287663,242,62,9,desc,0.6816901408450704,0.4,0.6572887323943662,0.4816737975235612,242,142,10,asc,1.0755555555555556,0.7999999999999999,0.7266577060931899,0.7577176611642977,242,180,20,asc,2.966451612903226,0.76,0.7266577060931899,0.6945223004287663,242,62,19,desc,6jok,6JOK,qvina,QVina2
